source_entity,target_entity,relationship_type,relationship_description,source_entity_id,target_entity_id
Ba##zell ##a,Fox News,Affiliated-with,Ba##zell ##a is affiliated with Fox News.,d7c1e3c1-83ca-424d-9e4f-da50b28cd239,c0954e98-b43d-481c-957c-21d1de0f9f15
Gee ##rts,Victor Re ##beck,Family-Relation,Gee ##rts and Victor Re ##beck are siblings.,f08b5cbd-1921-4fc7-addb-a87f2e69978c,ae0ea7a9-fddf-4e49-a1f0-19e3372ae145
Gee ##rts,Fox News,Affiliated-with,Gee ##rts is affiliated with Fox News.,f08b5cbd-1921-4fc7-addb-a87f2e69978c,c0954e98-b43d-481c-957c-21d1de0f9f15
the white company,christmas,Part-of,the white company is gear ##ing up for christmas,e2994e9a-1dfb-4b9a-8d1b-ea78708b3ecf,d4b113bc-93f6-4995-ad94-b53cce3287a2
the white company,wreath ##s,Part-of,the white company is known for its carefully crafted products and an attention to detail that make it one of britain ’ s most cher ##ished lifestyle brands,e2994e9a-1dfb-4b9a-8d1b-ea78708b3ecf,14e3cd63-cb91-4b83-9ec0-6312c48e77eb
the white company,garland ##s,Part-of,the white company is known for its carefully crafted products and an attention to detail that make it one of britain ’ s most cher ##ished lifestyle brands,e2994e9a-1dfb-4b9a-8d1b-ea78708b3ecf,4416a738-39eb-4043-89c3-4915bdd4aef7
the white company,scents,Part-of,the white company is known for its carefully crafted products and an attention to detail that make it one of britain ’ s most cher ##ished lifestyle brands,e2994e9a-1dfb-4b9a-8d1b-ea78708b3ecf,6a8fa6cf-f717-46c3-9ebb-e59247b614d1
the white company,britain,Located-in,the white company is known for its carefully crafted products and an attention to detail that make it one of britain ’ s most cher ##ished lifestyle brands,e2994e9a-1dfb-4b9a-8d1b-ea78708b3ecf,31d391be-2569-41ea-beb1-9efb2623f28e
lifestyle brands,the white company,Part-of,the white company is known for its carefully crafted products and an attention to detail that make it one of britain ’ s most cher ##ished lifestyle brands,d9d05982-d8b7-4364-a736-073e2e14ecf9,e2994e9a-1dfb-4b9a-8d1b-ea78708b3ecf
"spicy and warming notes of cinnamon, cl ##ove and orange","candles, diffuse ##rs or oils",Part-of,"Notes in a choice of candles, diffuse ##rs or oils",a04d402c-4567-4ee0-b2f4-1ff8c3b94f88,7a286624-a5c5-487b-9609-a4b0755532a7
the white company,barton serving tray,Affiliated-with,A range of home ##ware that makes sure you ’ re always ready for the occasion,a3832ae3-dab5-4b02-a340-75f665ad1aac,41f9ccfd-0fae-4873-b522-d672666b21ee
the white company,champagne coupe ##s,Affiliated-with,A range of home ##ware that makes sure you ’ re always ready for the occasion,a3832ae3-dab5-4b02-a340-75f665ad1aac,1e029c3c-7464-4f93-ab80-fd75d3760d89
the white company,advent calendar,Affiliated-with,A range of home ##ware that makes sure you ’ re always ready for the occasion,a3832ae3-dab5-4b02-a340-75f665ad1aac,58e5f170-0208-4243-80eb-5c9538fe3f31
decorations,christmas,Part-of,decorations are part of christmas,a0b57380-3f94-431b-b1d5-5b2a9097f0a2,731d7eff-552c-4983-9eb0-7f290466ae3a
simply,christmas,Part-of,simply is part of christmas,e7284b5f-18db-4ccd-a6ee-2228f64b7804,731d7eff-552c-4983-9eb0-7f290466ae3a
christmas,penguin,Part-of,christmas is part of the penguin,731d7eff-552c-4983-9eb0-7f290466ae3a,1ccf4f02-ee24-4ec4-836c-1e67c4ae66d1
advent calendar,family,Part-of,advent calendar is part of the family,e61ce9e1-fca3-471e-8d63-c9fc8b39df18,68ec8f80-773b-46e3-8619-a103fd1db5b0
advent calendar,treats,Part-of,advent calendar is part of the treats,e61ce9e1-fca3-471e-8d63-c9fc8b39df18,f2230d01-f142-4c1a-a77f-cea6bb9c262b
ind ##ul ##gent treats,christmas jumper,Part-of,ind ##ul ##gent treats are part of the christmas jumper,e89f1299-2ce3-4184-b1ac-6d64da76583f,7e305caf-4b7c-4955-8194-336c58fc1b3c
the white company,log fire,Located-in,the white company is located in the background,fb88f714-956d-4bc4-bd3f-1843827651f2,74d00991-2991-4698-9080-d4f9dd8c535e
motion sensor plug in electronic diffuse ##r,is a great little ga ##dget,Part-of,motion sensor plug in electronic diffuse ##r is a part of is a great little ga ##dget,0f749653-5f89-4fe8-8be6-a740e1fe2082,d6d15170-2795-434c-bfda-bbbc328db613
that delivers the ideal amount of relaxing scent,is a great little ga ##dget,Part-of,that delivers the ideal amount of relaxing scent is a part of is a great little ga ##dget,71782a72-8921-46ea-b504-1bad5f0c7d9a,d6d15170-2795-434c-bfda-bbbc328db613
at the touch of a button,is a great little ga ##dget,Part-of,at the touch of a button is a part of is a great little ga ##dget,3608cf95-96a3-4e23-af42-b6409ac4bee3,d6d15170-2795-434c-bfda-bbbc328db613
simply add your favourite scent oil,is a great little ga ##dget,Part-of,simply add your favourite scent oil is a part of is a great little ga ##dget,5574e5a0-207a-4f98-af27-eb367f4a5f6a,d6d15170-2795-434c-bfda-bbbc328db613
The White Company,John Doe,Mentor-Protege,John Doe is a mentor to The White Company.,7f3f4bfc-538e-4101-a9ca-dde4fe12f36b,2bc64f76-cca6-4d31-83e2-7ada8286949c
Myrrrh,Fir Tree,Part-of,Myrrh is a part of Fir Tree.,6908adec-12cc-4bc5-8fe2-eb29a42407d4,b5bb47a5-ff92-4ca2-8733-ec31fac48568
Nordic Wood,Fir Tree,Part-of,Nordic Wood is a part of Fir Tree.,86dcd7cf-e747-475e-84af-2aca06f4d5fb,b5bb47a5-ff92-4ca2-8733-ec31fac48568
Champagne,Oversized Puffer Coat,Uses,Champagne is used in making the oversized puffer coat.,a3d82975-ecde-4f60-8dd5-51aa1313ef43,6be7f37d-4ecd-4e16-a8db-5e0af25b3dab
Champagne,Down-filled Quilted Puffer,Uses,Champagne is used in making the down-filled quilted puffer.,a3d82975-ecde-4f60-8dd5-51aa1313ef43,91889719-904c-4b4b-8ffd-6b2eac955934
Champagne,Champagne Trug,Uses,Champagne is used in making the champagne trug.,a3d82975-ecde-4f60-8dd5-51aa1313ef43,298c78a1-765e-484a-aa15-5a4300da10e4
Oversized Puffer Coat,Champagne Trug,Located-in,The champagne trug is located in the oversized puffer coat.,6be7f37d-4ecd-4e16-a8db-5e0af25b3dab,298c78a1-765e-484a-aa15-5a4300da10e4
Down-filled Quilted Puffer,Champagne Trug,Located-in,The champagne trug is located in the down-filled quilted puffer.,91889719-904c-4b4b-8ffd-6b2eac955934,298c78a1-765e-484a-aa15-5a4300da10e4
mariah carey,gov ee,Affiliated-with,Mariah Carey is affiliated with Gov EE.,63420bc8-a943-41e4-a9a3-ed6913fc7eb3,2a26fa65-4489-40b3-92f7-ad7d8b867efa
mariah carey,amazon,Part-of,Mariah Carey is part of Amazon.,63420bc8-a943-41e4-a9a3-ed6913fc7eb3,36a7e024-dbbc-4d55-9f59-a664f8990dd8
pepper min t mocha s,gov ee,Part-of,Pepper min t mocha s is part of Gov EE.,2d1ebb12-c98f-4724-bbbb-e3fa1d914b48,2a26fa65-4489-40b3-92f7-ad7d8b867efa
gov ee,amazon,Part-of,Gov EE is part of Amazon.,2a26fa65-4489-40b3-92f7-ad7d8b867efa,36a7e024-dbbc-4d55-9f59-a664f8990dd8
halloween,october,Part-of,Halloween is part of October.,249087a9-d6ed-48ac-8588-f74ffa56b22d,87dc9e91-37d1-496f-8d2c-2b885e4f5323
october,2023 holiday season,Part-of,October is part of the 2023 holiday season.,87dc9e91-37d1-496f-8d2c-2b885e4f5323,1d98b5c6-3967-49b5-a7a8-030f7ba41ec5
m1 led strip light,gov ee,Produced-by,M1 led strip light is produced by Gov EE.,cd6f4865-6f9c-4c88-85b2-c0772e348690,2a26fa65-4489-40b3-92f7-ad7d8b867efa
google,amazon,Part-of,Google is a part of Amazon,5d0535af-c83e-463d-b728-199e73de26b6,b6f3a80c-2444-4a35-afec-0932d1011898
google,gov,Part-of,Google is a part of the government,5d0535af-c83e-463d-b728-199e73de26b6,d189ace0-03a2-4c51-b9bb-bb7b66d0b4ba
google,pixel buds pro,Produced-by,Google produced the pixel buds pro,5d0535af-c83e-463d-b728-199e73de26b6,23bcd390-b8ed-4e21-a66c-f582dbe5cff9
wellbots,verge,Affiliated-with,Wellbots is affiliated with verge,273b6d85-e094-4900-8017-d508dc92d4fb,576ed44f-bfc8-4c59-baf6-3ddd3d1e68ae
google,google pixel watch,Produced-by,Google produced the Google pixel watch,5d0535af-c83e-463d-b728-199e73de26b6,fda26b06-e0bb-449d-bc24-ab84d2b46357
google pixel watch,google,Affiliated-with,google is affiliated with google pixel watch,0ba1df37-424b-49b5-8c8a-96f96e391386,980399f8-8a0d-4346-ac13-f6fc80b831cb
google pixel watch,fit ##bit,Part-of,google pixel watch is part of fit ##bit,0ba1df37-424b-49b5-8c8a-96f96e391386,384f647b-6bd3-4630-93ff-ced70a6bfad7
google pixel watch,verge,Reviews,verge reviews google pixel watch,0ba1df37-424b-49b5-8c8a-96f96e391386,2d788619-8928-43c8-9562-d14616ef483a
google pixel watch,youtube music,Part-of,google pixel watch is part of youtube music,0ba1df37-424b-49b5-8c8a-96f96e391386,d67c0c1a-678d-4624-b728-175b4298d52e
well ##bots,google pixel watch,Purchases,well ##bots purchases google pixel watch,06cc3c7f-e9d9-4eb5-a556-c017f2e11718,0ba1df37-424b-49b5-8c8a-96f96e391386
microsoft,apple,Competitor,microsoft is a competitor of apple,eb09489e-01b0-4b3d-815b-7eeadc893247,632b68a1-b2b9-4dee-a191-ba134867af95
steve jobs,apple,Founder,steve jobs is the founder of apple,eb6d05d1-3cd0-41cd-a8dc-f3a66c054adf,632b68a1-b2b9-4dee-a191-ba134867af95
apple,microsoft,Competitor,apple is a competitor of microsoft,632b68a1-b2b9-4dee-a191-ba134867af95,eb09489e-01b0-4b3d-815b-7eeadc893247
france,paris,Located-in,paris is located in france,6b0061e8-2643-484c-b8d9-0804475554c9,108e583f-8545-4d98-8445-4149662af311
Blink Video Doorbell,Amazon,Part-of,Blink Video Doorbell is sold by Amazon.,830ecb24-ad50-4586-9cd5-81a75b825fd5,b1ac481b-05fe-4c54-94a8-6d2cb21cc175
Blink Outdoor Security Camera,Amazon,Part-of,Blink Outdoor Security Camera is sold by Amazon.,3821cd9e-61a9-4a51-822a-01c2bc970555,b1ac481b-05fe-4c54-94a8-6d2cb21cc175
Blink Video Doorbell,Blink Outdoor Security Camera,Part-of,"Blink Video Doorbell is part of the Blink security system, which includes the Blink Outdoor Security Camera.",830ecb24-ad50-4586-9cd5-81a75b825fd5,3821cd9e-61a9-4a51-822a-01c2bc970555
decorations,Independent,Located-in,Decorations are located at Independent,,16e27f93-4ca2-49ad-ba48-9da1974e19a9
Rachel Zar,Independent,Affiliated-with,Rachel Zar is affiliated with Independent,,16e27f93-4ca2-49ad-ba48-9da1974e19a9
Independent,Raquel Za ##r,Part-of,Independent is part of Raquel Za ##r,16e27f93-4ca2-49ad-ba48-9da1974e19a9,78a6f99a-788d-4b39-9ad1-10dc75869ac6
Raquel Za ##r,Take Root There ##ap ##y,Mentor-Protege,Raquel Za ##r is a mentor of Take Root There ##ap ##y,78a6f99a-788d-4b39-9ad1-10dc75869ac6,81907455-9622-4776-8691-1d778d2d1393
Take Root There ##ap ##y,California,Located-in,Take Root There ##ap ##y is located in California,81907455-9622-4776-8691-1d778d2d1393,bd34c49f-7410-4055-8b15-28b959846def
Holidays,Communication,Part-of,The holidays are an event that is part of the communication process.,a83289ae-5374-43f5-81be-efda2afd6eed,5c4585a8-0100-42a0-ad4e-4a5518aa2d05
get ##ty images,Partners,Produced-by,get ##ty images is a product that was produced by the partners.,422118e1-a525-489b-9604-1197df9e6a4a,ff2807a2-97cb-4ebc-9b2f-39a38d837345
Relatives,significant other,Family-Relation,Relatives are family members of the significant other.,85946e1b-5625-4810-b304-8cb967767778,429a2e2c-a818-4007-9786-8325b32f0b1c
Parent,significant other,Family-Relation,Parents are family members of the significant other.,9d1dda70-0a4d-45a4-beb1-e2386fc30261,429a2e2c-a818-4007-9786-8325b32f0b1c
Microsoft,significant other,Worked-for,significant other worked for Microsoft.,857fae23-e689-4e03-83d7-a49d32bbf9de,429a2e2c-a818-4007-9786-8325b32f0b1c
Apple,significant other,Worked-for,significant other worked for Apple.,9bea26c4-fbaa-4ba4-be47-811ecda16ea8,429a2e2c-a818-4007-9786-8325b32f0b1c
stress,lu ##rie,Mentor-Protege,Lurie is a mentor to stress.,c424713d-a596-447d-93b1-e8f125053db2,a9b2f1ac-7b8e-4cce-bd45-68874a985c9f
family,lu ##rie,Family-Relation,Lurie is related to family.,611c47d9-be44-46bc-88b6-f651d0e2b105,a9b2f1ac-7b8e-4cce-bd45-68874a985c9f
family,parents,Family-Relation,"The people who are related to you by blood or marriage, such as your father and mother.",1a3dd42d-6a97-456a-9078-786a68838a7e,5603d332-5f58-4aaa-96a0-fbd855f42be5
family,siblings,Family-Relation,"The people who are related to you by blood or marriage, such as your brothers and sisters.",1a3dd42d-6a97-456a-9078-786a68838a7e,84c10494-04be-44e7-bc7d-527e7882e4ba
family,extended family,Family-Relation,"The relatives of a person who are not part of their immediate family, such as aunts, uncles, and cousins.",1a3dd42d-6a97-456a-9078-786a68838a7e,eb9ab8ac-a917-40c2-9fda-c1f285278387
partner,significant other,Romantic-Relation,A person's significant other in a romantic relationship.,aa4d559a-0393-41fe-b6c6-cee414301a1e,85055585-aca4-4cb5-bc23-eea9164b3f0b
holidays,intro ##sp ##ect ##ive,Concept-Relation,"The act of looking at something in a detailed way in order to understand it better, such as during the holiday season.",8e17f180-1c89-48a2-8cb3-586bb7a285fa,ac8698f0-43ab-406e-a0c8-d76ed36139b2
holidays,navigate ##d,Concept-Relation,"The act of successfully passing through or around something difficult, such as during the holiday season.",8e17f180-1c89-48a2-8cb3-586bb7a285fa,72476f6b-4bb3-44c2-88ba-9e2410ec1878
holidays,origin,Concept-Relation,"The place or situation from which something comes or is derived, such as the origin of the holiday season.",8e17f180-1c89-48a2-8cb3-586bb7a285fa,618893ed-dc5d-4683-a6b6-9571cc4c40e4
holidays,relationship expectations,Concept-Relation,"The standards and behaviors that two people in a relationship have for each other, such as during the holiday season.",8e17f180-1c89-48a2-8cb3-586bb7a285fa,75c4692c-6a0a-4fed-be00-038bc30a034d
holidays,significant other,Concept-Relation,"A person's romantic partner, such as during the holiday season.",8e17f180-1c89-48a2-8cb3-586bb7a285fa,85055585-aca4-4cb5-bc23-eea9164b3f0b
kentucky sports betting,governor,Part-of,The launch of retail and online sports betting is part of the governor's announcement,28034007-68de-44c6-8b56-b3d75f88393a,425d82fb-fdb8-458d-b40b-efa46ea16bef
fan ##atics sports ##book,governor,Affiliated-with,Fan ##atics sports ##book is affiliated with the governor,,425d82fb-fdb8-458d-b40b-efa46ea16bef
fan due l,john doe,Affiliated-with,John Doe is affiliated with FanDuel.,ee7696c0-f7c9-4d0f-821f-ee16a3cf4e72,53b9796d-8d28-40ed-bb3a-44992f133b4c
draft king s,john doe,Affiliated-with,John Doe is affiliated with DraftKings.,6120d6a8-65ad-4284-bf54-152a2e82ca7e,53b9796d-8d28-40ed-bb3a-44992f133b4c
fan due l,microsoft,Part-of,FanDuel is a part of Microsoft.,ee7696c0-f7c9-4d0f-821f-ee16a3cf4e72,1a92c07d-165a-493a-9701-660079a1e60d
draft king s,microsoft,Part-of,DraftKings is a part of Microsoft.,6120d6a8-65ad-4284-bf54-152a2e82ca7e,1a92c07d-165a-493a-9701-660079a1e60d
bet mgm,microsoft,Part-of,BetMGM is a part of Microsoft.,577dc446-24dc-4cec-a6f5-4529201beb6e,1a92c07d-165a-493a-9701-660079a1e60d
john doe,bet mgm,Affiliated-with,John Doe is affiliated with BetMGM.,53b9796d-8d28-40ed-bb3a-44992f133b4c,577dc446-24dc-4cec-a6f5-4529201beb6e
france,paris,Located-in,France is located in Paris.,da155b75-1582-423e-8a87-9b4b36fd4f5c,
apple,steve jobs,Produced-by,Steve Jobs co-founded Apple.,176fc082-6f0d-4af7-8c28-46681a420f4f,
betmgm,uk,Located-in,betmgm is located in the United Kingdom,293fdee2-e6d7-4d21-962c-1b7a23312120,f8e6c0ff-b865-4140-8cc2-26fc9f12101d
betmgm,us,Located-in,betmgm is located in the United States of America,293fdee2-e6d7-4d21-962c-1b7a23312120,5ecb7bbc-670e-482c-bc4f-05c4384bd6ad
caesars,uk,Located-in,caesars is located in the United Kingdom,06a02b33-4b44-4d35-b37b-b3fed5cda831,f8e6c0ff-b865-4140-8cc2-26fc9f12101d
caesars,us,Located-in,caesars is located in the United States of America,06a02b33-4b44-4d35-b37b-b3fed5cda831,5ecb7bbc-670e-482c-bc4f-05c4384bd6ad
bet365,uk,Located-in,bet365 is located in the United Kingdom,15ab4502-76ba-4a7e-8850-755cb0db16a1,f8e6c0ff-b865-4140-8cc2-26fc9f12101d
bet365,us,Located-in,bet365 is located in the United States of America,15ab4502-76ba-4a7e-8850-755cb0db16a1,5ecb7bbc-670e-482c-bc4f-05c4384bd6ad
microsoft,us,Located-in,microsoft is located in the United States of America,6989202d-218b-4f6e-89d6-a4dbc8b478b7,5ecb7bbc-670e-482c-bc4f-05c4384bd6ad
paris,france,Located-in,paris is located in the country of France,030748cc-c648-471d-9d0d-31db00afbc4d,
apple,us,Located-in,apple is located in the United States of America,a759241a-11de-4586-85a3-b43560a31c93,5ecb7bbc-670e-482c-bc4f-05c4384bd6ad
steve jobs,apple,Works-for,steve jobs worked for apple,e389fdb3-084a-4af1-bdb1-4e5344d06c9d,a759241a-11de-4586-85a3-b43560a31c93
books,customers,Offers,"Books often offer generous promotions and bonuses, especially for new customers.",8ed670bd-1299-44a2-a730-096208073ebb,5c1ad272-ac5b-400c-ab87-6f6c038a95dc
sports ##books,customers,Allows-to-Bet,Sports ##books allow users to place bets on various sports events.,a15a9f16-7e9a-4dd9-9e77-944565d0b75f,5c1ad272-ac5b-400c-ab87-6f6c038a95dc
kentucky,sports ##books,Located-in,Kentucky is a state in the United States where many sports ##books are located.,faa02fb1-112e-43d1-8a2e-0e65118c95d0,a15a9f16-7e9a-4dd9-9e77-944565d0b75f
fan ##atics,sports ##books,Affiliated-with,Fan ##atics is affiliated with many sports ##books.,285c1dcf-9865-4022-9bc0-d4ee234d3272,a15a9f16-7e9a-4dd9-9e77-944565d0b75f
sports ##book,mar ##que ##e games,Part-of,The sports ##book offers mar ##que ##e games as a part of its product offering.,15102af3-04fb-4469-925b-9ce738c299be,5f1fc085-cb7b-4135-a3e1-1e07f4b8bbda
sports ##book,trend ##ing bets,Part-of,The sports ##book offers trend ##ing bets as a part of its product offering.,15102af3-04fb-4469-925b-9ce738c299be,87a68702-7b4c-40a2-954b-2c52c7f0f113
the other sites,mgm resort,Affiliated-with,The other sites are affiliated with MGM Resort,75ce2753-5742-4a15-910d-c5ff3eb5c8dc,3a5992a4-4b94-45e8-87a7-2109e2ac7fc9
the other sites,caesar s sportsbook,Affiliated-with,The other sites are affiliated with Caesars Sportsbook,75ce2753-5742-4a15-910d-c5ff3eb5c8dc,4142dbfd-bb38-4a94-9687-ad9cf4960a5d
the other sites,bet 365 sportsbook,Affiliated-with,The other sites are affiliated with Bet365 Sportsbook,75ce2753-5742-4a15-910d-c5ff3eb5c8dc,6d800543-113a-4f84-9ae0-4c01d67efaba
mgm resort,kentucky,Located-in,MGM Resort is located in Kentucky,3a5992a4-4b94-45e8-87a7-2109e2ac7fc9,b20ae3d3-b4c8-4604-ac26-6a08047d1af2
caesar s sportsbook,kentucky,Located-in,Caesars Sportsbook is located in Kentucky,4142dbfd-bb38-4a94-9687-ad9cf4960a5d,b20ae3d3-b4c8-4604-ac26-6a08047d1af2
bet 365 sportsbook,kentucky,Located-in,Bet365 Sportsbook is located in Kentucky,6d800543-113a-4f84-9ae0-4c01d67efaba,b20ae3d3-b4c8-4604-ac26-6a08047d1af2
Kentucky,Kentucky Wildcats,Located-in,Kentucky is the home of the Kentucky Wildcats,ece29bd2-8ef5-446c-90e3-33d08f77a0be,ead995f9-669f-4b7e-aa50-239d77805867
John Calipari,Kentucky Wildcats,Affiliated-with,John Calipari is the head coach of the Kentucky Wildcats,f936f942-7125-4021-a5af-b722eabec164,ead995f9-669f-4b7e-aa50-239d77805867
kentucky,a national title in 2012,Part-of,Kentucky is a part of the 2012 national title,,acb9cb71-74dc-4494-b9f3-ed0aaf333f1a
kentucky,"the program ' s 2, 02 ##1 - 63 ##7 all - time record",Part-of,Kentucky is a part of the program's 2021-63 all-time record,,e718d8ad-24f0-4891-8edf-8b991f152d1f
kentucky,louisville cardinals,Part-of,Kentucky is a part of the Louisville Cardinals,,364868df-c5ef-47c5-8be4-d70cd864cf4f
louisville cardinals,louisville basketball,Part-of,The Louisville Cardinals is a part of Louisville basketball,364868df-c5ef-47c5-8be4-d70cd864cf4f,
louisville cardinals,louisville has also become a bigger name in the college football world in the past couple decades,Part-of,The Louisville Cardinals is a part of Louisville having also become a bigger name in the college football world in the past couple decades,364868df-c5ef-47c5-8be4-d70cd864cf4f,a3f4c729-81de-4d65-aa15-76a7208e554b
louisville cardinals,lamar jackson,Part-of,The Louisville Cardinals is a part of Lamar Jackson,364868df-c5ef-47c5-8be4-d70cd864cf4f,81aae9b5-a931-4876-b4b5-bf93c03caa24
western kentucky hilltop ##pers,uk or louisville,Part-of,The Western Kentucky Hilltoppers is a part of UK or Louisville,d4dfb508-206f-4f4e-9a49-d89becf27cee,cf1905e7-ebc3-4dbf-b3f3-a05832265f5c
western kentucky hilltop ##pers,nine winning seasons since that point,Part-of,The Western Kentucky Hilltoppers is a part of nine winning seasons since 2009,d4dfb508-206f-4f4e-9a49-d89becf27cee,35ca0ce1-4027-4a8b-8be8-3f414aa0b4bd
cincinnati bengals,kentucky,Part-of,The Cincinnati Bengals is a part of Kentucky,0c663c44-e254-4622-8a15-bfbb530e575a,
Kentucky,Louisville,Located-in,Kentucky is located in the United States.,01c8b5a6-690f-4904-aab4-ff386a741b9d,328c3f69-50c8-4b6e-9e9f-d4cf4156c52e
Kentucky,Florida,Located-in,Kentucky is located in the United States.,01c8b5a6-690f-4904-aab4-ff386a741b9d,ef720df6-d721-4e4d-99a4-c63eaeecc36b
Kentucky Wildcats,Kentucky,Part-of,Kentucky Wildcats is a part of the University of Kentucky.,83739600-dedc-4bed-a268-202287e9a6be,01c8b5a6-690f-4904-aab4-ff386a741b9d
Louisville Cardinals,Louisville,Part-of,Louisville Cardinals is a part of the University of Louisville.,4259ed33-f410-40a7-accc-a75270c8f952,328c3f69-50c8-4b6e-9e9f-d4cf4156c52e
Kentucky Derby,Kentucky,Located-in,"Kentucky Derby is located in Louisville, Kentucky.",a44e3da5-fd07-41d2-9ed6-9d752fc561ff,01c8b5a6-690f-4904-aab4-ff386a741b9d
March Madness,National Collegiate Athletic Association,Affiliated-with,March Madness is affiliated with the National Collegiate Athletic Association.,4608dc74-5bdd-4719-9bf5-d3542215350b,555706d1-70f1-4767-8059-a8a3fc529759
stat,game,Part-of,A statistical measurement is part of a game,ccee497b-cd88-46eb-8eb0-deae08fb5fb0,cac643f6-ed74-4bea-a2bf-bfdecb09a92f
player,quarterback,Colleague-Relation,A player and a quarterback are colleagues,60be0abc-71fe-49bc-99bc-50a00832b5a5,9f51b69a-b0b4-43dc-af76-bbc069c6baa6
player,three - point shot,Part-of,A player is part of a three - point shot,60be0abc-71fe-49bc-99bc-50a00832b5a5,1648e1d6-f4cd-4339-bd6e-909327f736ec
under ##dog,game,Located-in,An under ##dog is located in a game,b21f8372-2c95-4bfc-a0e1-5bd6ceca35c8,cac643f6-ed74-4bea-a2bf-bfdecb09a92f
favorite,game,Located-in,A favorite is located in a game,0ec6a35e-5600-4201-9fc8-b195f596d55a,cac643f6-ed74-4bea-a2bf-bfdecb09a92f
odds,game,Located-in,Odds are located in a game,781cf00e-d7ef-4193-8460-dfdb5bdd4239,cac643f6-ed74-4bea-a2bf-bfdecb09a92f
sports ##book,futures,Part-of,A sports ##book is part of futures,b30b4ccd-9536-4d6b-aa21-cd98cd71bc60,9ededdad-9091-4f9d-ab0a-5cbef501bd0b
sports ##book,total regular - season wins,Part-of,A sports ##book is part of total regular - season wins,b30b4ccd-9536-4d6b-aa21-cd98cd71bc60,c1f616c0-e62b-49e0-8d8b-35a6b26ca1a8
sports ##book,championship odds,Part-of,A sports ##book is part of championship odds,b30b4ccd-9536-4d6b-aa21-cd98cd71bc60,8c03467f-b572-4a25-aa7f-97d6e78b813c
sports ##book,mvp odds,Part-of,A sports ##book is part of mvp odds,b30b4ccd-9536-4d6b-aa21-cd98cd71bc60,15237664-cfba-4f7e-ad17-886b72c7955e
par ##lay,three - leg par ##lay,Part-of,A par ##lay is part of a three - leg par ##lay,8e2e7dfe-9ced-40bb-8979-3558b2f028e1,9779ecf2-4055-42a5-b92e-06406ab8f06a
juice,push,Part-of,Juice is part of a push,a7172621-272d-4fc9-96d9-7063682a5284,528326d7-c50a-41f1-a0b5-c1b51bc576b2
in - game betting,three - point shot,Part-of,In - game betting is part of a three - point shot,49c0536a-224b-45f8-aa70-dbf36105f54d,1648e1d6-f4cd-4339-bd6e-909327f736ec
##atics sports,tb,Part-of,##atics sports uses the measurement unit 'tb'.,f9398649-dd3e-4b39-980f-12bcef68c02f,6e7f9f9c-456d-42d1-93f2-ce706011dd8a
"espn bet sports ##book tb ##d tb ##d tb ##d best vermont sports ##book promo codes vermont ' s new online sports betting law author ##izes up to six sites to launch in the state. five operators applied for licenses, and as of today fan ##due ##l, draft ##king ##s and fan ##atics are already scheduled to launch on jan. 11, 202 ##4. bet ##mg ##m and espn bet are also among the applicants, making them possible candidates to launch in vermont in the new year as well. here are details regarding those five online sports ##books and their welcome offers. fan ##due ##l vermont promo code vermont already knows fan ##due ##l thanks to its daily fantasy sports site. fan ##due ##l sports ##book is one of the most popular across the us, and fan ##due ##l has already applied for a license to launch in vermont. fan ##due ##l has a great welcome offer inviting new sign - ups simply to make an initial $ 5 wage ##r and get back $ 200 in bonus bets. meanwhile, for vermont bet ##tors fan ##due ##l is running an early sign up special that gets you an extra $ 100 in bonus bets for signing up early between now and jan. 10, 202 ##4. that means you can receive a total of $ 300 in bonus bets to get you started at fan ##due ##l sports ##book vermont. you can read more about fan ##due ##l sports ##book vermont ' s pre ##li ##ve offer here. you can bet on around two dozen different sports at fan ##due ##l. the site",fan ##due ##l,Located-in,espn bet sports ##book is located in the state of vermont.,8a1c760c-4e2b-4dc8-b7b4-8800bbb3a241,3fe29edf-a6ea-4080-95bf-2df7a1f24282
FanDuel Sportsbook,Sportsbook,Part-of,FanDuel Sportsbook is a part of the larger sportsbook industry,1d60062e-235d-44d6-a035-75e8db4788ba,
jan. 11,Date,Occurs-on,The FanDuel Sportsbook will go live on jan. 11,60385458-8c35-43be-be07-666161642e67,
FanDuel,Company,Operates,FanDuel operates the FanDuel Sportsbook,2d2d5fc9-ac7d-4786-8e72-476d100349cc,
FanDuel Sportsbook,Sportsbook,Part-of,FanDuel Sportsbook is a part of the larger sportsbook industry,1d60062e-235d-44d6-a035-75e8db4788ba,
FanDuel,Company,Affiliated-with,FanDuel is affiliated with the larger gambling company Flutter Entertainment,2d2d5fc9-ac7d-4786-8e72-476d100349cc,
et,Time Zone,Located-in,The Eastern Time Zone is located in the United States,d0ba432e-4d77-4231-b6be-0ea8bd30e11b,
2024,Date,Occurs-on,The FanDuel Sportsbook welcome offer is available in 2024,795beb89-4b21-4d41-8dc8-96a1e3bdf0ed,
"January 10, 2024",Date,Occurs-on,The deadline by which users must register for the FanDuel Sportsbook welcome offer,370f46be-7f56-49ae-b78f-2ad362009bb2,
United States,Location,Located-in,The United States is located in North America,67e5df7e-664d-4265-8d6c-45cc58f5c83d,
FanDuel Sportsbook,Vermont,Located-in,FanDuel Sportsbook is located in Vermont.,24a6b5d8-65c6-454e-b7a3-b1bc9c0999c0,55ed6edb-e9ae-442e-aea5-65cf21db9209
